Month,AvgDailyVolume,InPerson,EMail,TelephoneCall,WebForm,Requests,Orders,PendingeFile,UnprocessedInbox,TargetInventory,OverallResult,Goal,FrontOfficeReachability,ReachabilityGoal,AvgAnswerSpeedSecs
JAN,351,1499,1567,1801,841,461,904,47,21,1700,0.82,0.9,0.992,0.9,8.5
FEB,345,2008,2356,2503,949,485,951,79,201,1700,0.84,0.9,0.995,0.9,8.9
MAR,359,1710,2006,2245,965,489,984,12,10,1700,0.87,0.9,0.991,0.9,8.5
APR,331,1904,2134,2203,978,402,950,15,13,1700,0.85,0.9,0.989,0.9,8.4
MAY,335,1849,2019,2345,947,405,1104,350,22,1700,0.88,0.9,0.984,0.9,8.2
JUN,371,1734,2234,2198,730,369,1110,67,9,1700,0.88,0.9,0.985,0.9,8.5
JUL,350,1719,2765,1986,937,445,1006,11,5,1700,0.89,0.9,0.987,0.9,9.2
AUG,329,1645,2434,1767,930,457,1124,70,69,1700,0.9,0.9,0.989,0.9,8.1
SEP,297,1608,2309,1999,1074,441,979,19,35,1700,0.91,0.9,0.988,0.9,8.5
OCT,310,1511,2009,1576,1152,511,812,12,11,1700,0.93,0.9,0.985,0.9,10.1
NOV,321.6981132,1423,2309,2005,1483,544,1189,242,110,1700,0.95,0.9,0.979,0.9,8.5
DEC,341,1395,2249,1989,1330,503,1039,139,7,1700,0.97,0.9,0.971,0.9,9.2
